Closest approaches at Tevis Pl; PA (lat: 37.450204, long: -122.143786, elevation: 26), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
Tevis Pl; PA	52.6	42.2	49.8	46.2	57.6	8.5	6.1	4.6	3.6	2.9	2.5	0.7	0.7	0.5	0.3	0.2	0.2	9.3	6.4	5.0	4.3	3.4	3.0	10.7	8.2	6.2	4.7	3.9	3.4	13.3	9.0	6.7	5.0	4.0	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: aa8a09 (0)	Flight ID: Other	07/04/18 04:19:44	1.84	2.11	1530703184.2	37.434982	-122.116321	-1.07	66.58	5525	255	-887	70	04:19:54	3.693298e+05
ICAO: aacd96 (0)	Flight ID: UAL1639	07/04/18 04:57:32	0.97	1.44	1530705452.7	37.437363	-122.136706	0.40	90.02	5635	260	-2009	72	04:57:39	1.673346e+06
ICAO: a8d4f6 (0)	Flight ID: UAL1724	07/04/18 05:00:29	1.61	1.91	1530705629.1	37.430786	-122.127647	-0.42	79.48	5450	268	-1906	72	05:00:38	5.514618e+05
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:51:11	3.45	3.59	1530730271.6	37.412704	-122.102226	-0.37	86.40	5225	205	-714	53	11:51:28	2.200586e+04
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:52:21	4.02	4.08	1530730341.1	37.46521	-122.073007	-0.25	88.03	3925	201	-608	348	11:52:40	8.476043e+03
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:53:21	4.33	4.38	1530730401.5	37.506905	-122.109992	-0.44	86.49	3275	192	-412	300	11:53:42	5.040499e+03
ICAO: aa8882 (0)	Flight ID: UAL396	07/04/18 05:17:09	4.41	4.56	1530706629.6	37.387266	-122.129935	-0.13	88.81	6000	252	-144	82	05:17:30	2.715159e+03
ICAO: aa8882 (0)	Flight ID: UAL396	07/04/18 05:20:10	4.47	4.54	1530706810.5	37.506813	-122.104447	0.11	90.00	4266	207	-406	300	05:20:31	3.427578e+03
ICAO: a1cac9 (0)	Flight ID: UAL955	07/04/18 05:18:44	1.77	2.14	1530706724.1	37.426076	-122.154471	0.44	90.01	6398	250	-1180	111	05:18:54	3.555175e+05
ICAO: a1cac9 (0)	Flight ID: UAL955	07/04/18 05:22:09	4.49	4.56	1530706929.5	37.509293	-122.109765	-0.30	87.50	4325	203	-1069	299	05:22:30	3.338496e+03
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:22:39	4.01	4.15	1530706959.5	37.392563	-122.152074	-0.09	89.04	5750	235	-1071	102	05:22:58	6.358205e+03
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:23:49	3.29	3.38	1530707029.8	37.436221	-122.086471	0.08	90.01	4230	237	-1290	23	05:24:05	2.858105e+04
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:24:29	3.22	3.28	1530707069.7	37.476409	-122.095153	0.07	90.00	3312	231	-1092	327	05:24:45	3.590072e+04
ICAO: aa56f8 (2)	Flight ID: UAL447	07/04/18 12:56:03	0.29	1.00	1530734163.8	37.454068	-122.145638	-0.28	77.48	5100	233	-1600	346	12:56:08	5.623395e+06
ICAO: a76f67 (0)	Flight ID: Other	07/04/18 05:18:56	4.30	4.37	1530706736.6	37.509885	-122.121396	0.00	90.00	3975	234	-1664	283	05:19:17	4.220455e+03
ICAO: a8d4cc (0)	Flight ID: UAL1575	07/04/18 05:27:09	1.48	1.79	1530707229.5	37.432794	-122.128024	-0.43	78.52	5350	255	-1527	73	05:27:17	7.500873e+05
