Closest approaches at EDDYY(2) (lat: 37.326444, long: -122.099722, elevation: 958.8), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
EDDYY(2)	40.2	34.4	41.2	38.7	42.6	6.7	4.0	2.9	2.2	1.9	1.6	0.7	0.4	0.2	0.2	0.2	0.2	7.3	4.1	2.9	2.3	2.1	1.9	10.7	6.7	4.8	3.5	2.9	2.4	8.0	4.9	3.6	2.7	2.4	2.1
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a44588 (2)	Flight ID: UAL1679	07/04/18 09:03:05	4.09	4.88	1530720185.7	37.277161	-122.14097	0.00	90.00	15000	399	2240	128	09:03:28	9.253321e+02
ICAO: a44588 (3)	Flight ID: UAL1118	07/04/18 20:09:13	0.06	1.13	1530760153.7	37.327257	-122.099981	0.44	90.41	6904	298	-1628	343	20:09:19	3.157090e+06
ICAO: 71bc23 (0)	Flight ID: AAR286	07/04/18 00:33:25	0.03	1.17	1530689605.5	37.326883	-122.099728	0.27	90.19	7142	278	-1071	344	00:33:30	3.027344e+06
ICAO: acddbe (0)	Flight ID: ASA1941	07/04/18 00:48:33	3.64	3.73	1530690513.8	37.344131	-122.162183	-0.52	84.83	5300	240	-1544	12	00:48:51	1.412108e+04
ICAO: 71be10 (0)	Flight ID: KAL213	07/04/18 01:08:43	0.32	1.17	1530691723.7	37.330902	-122.10135	-0.28	79.13	6900	298	-1656	344	01:08:49	2.834445e+06
ICAO: a7d278 (0)	Flight ID: TAI561	07/04/18 01:58:24	3.52	4.38	1530694704.8	37.285446	-122.137639	-0.25	85.99	14725	388	1248	130	01:58:45	2.486249e+03
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:50:31	4.97	5.06	1530730231.2	37.390478	-122.14104	0.00	90.00	5925	204	0	71	11:50:54	1.284498e+03
ICAO: aa8882 (0)	Flight ID: UAL396	07/04/18 05:17:22	4.40	4.50	1530706642.5	37.389493	-122.111385	0.33	90.00	6000	252	0	81	05:17:43	3.000071e+03
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:22:59	4.76	4.84	1530706979.2	37.39234	-122.125397	0.00	90.00	5350	234	-1088	79	05:23:21	1.708757e+03
ICAO: aa56f8 (2)	Flight ID: UAL447	07/04/18 12:54:13	0.39	1.25	1530734053.7	37.331776	-122.101931	-0.36	77.18	7225	264	-1234	344	12:54:19	2.623415e+06
