Closest approaches at SIDBY SFO Approach SE (lat: 37.450711, long: -122.144722, elevation: 25), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
SIDBY SFO Approach SE	52.8	42.3	49.7	46.3	57.9	9.2	6.2	4.6	3.8	3.1	2.5	1.3	1.1	0.7	0.5	0.4	0.3	9.3	6.0	5.0	4.5	3.7	2.8	12.0	7.9	5.8	5.0	4.0	3.6	14.0	9.7	6.7	5.3	4.3	3.5
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: aa8a09 (0)	Flight ID: Other	07/04/18 04:19:44	1.90	2.17	1530703184.2	37.434982	-122.116321	-1.11	66.32	5525	255	-882	70	04:19:54	3.281260e+05
ICAO: aacd96 (0)	Flight ID: UAL1639	07/04/18 04:57:32	1.02	1.47	1530705452.2	37.437192	-122.137352	0.35	90.02	5652	260	-1991	72	04:57:39	1.535740e+06
ICAO: aacd96 (0)	Flight ID: UAL1639	07/04/18 04:59:37	4.93	4.98	1530705577.6	37.521286	-122.131211	-0.04	89.67	3750	199	-712	280	05:00:00	1.528579e+03
ICAO: a8d4f6 (0)	Flight ID: UAL1724	07/04/18 05:00:29	1.66	1.96	1530705629.1	37.430786	-122.127647	-0.47	78.63	5450	268	-1932	72	05:00:38	4.945768e+05
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:51:11	3.51	3.65	1530730271.6	37.412704	-122.102226	-0.40	86.14	5225	205	-703	53	11:51:28	1.961549e+04
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:52:21	4.06	4.12	1530730341.1	37.46521	-122.073007	-0.17	88.68	3925	201	-598	348	11:52:40	7.839328e+03
ICAO: a8d4f6 (2)	Flight ID: UAL698	07/04/18 11:53:21	4.32	4.37	1530730401.5	37.506905	-122.109992	-0.34	87.30	3275	192	-406	300	11:53:41	5.124961e+03
ICAO: aa8882 (0)	Flight ID: UAL396	07/04/18 05:17:09	4.46	4.60	1530706629.6	37.387266	-122.129935	-0.19	88.26	6000	252	-152	82	05:17:31	2.503113e+03
ICAO: aa8882 (0)	Flight ID: UAL396	07/04/18 05:20:11	4.46	4.53	1530706811.4	37.507248	-122.105433	0.21	90.00	4260	207	-424	300	05:20:32	3.476560e+03
ICAO: a1cac9 (0)	Flight ID: UAL955	07/04/18 05:18:43	1.78	2.15	1530706723.3	37.42639	-122.155498	0.36	90.01	6412	250	-1175	111	05:18:53	3.452856e+05
ICAO: a1cac9 (0)	Flight ID: UAL955	07/04/18 05:22:09	4.48	4.55	1530706929.5	37.509293	-122.109765	-0.21	88.27	4325	203	-1075	299	05:22:30	3.404246e+03
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:22:39	4.04	4.18	1530706959.5	37.392563	-122.152074	-0.16	88.29	5750	235	-1057	102	05:22:59	6.015715e+03
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:23:50	3.35	3.44	1530707030.1	37.436462	-122.086373	0.10	90.00	4224	237	-1293	23	05:24:06	2.547567e+04
ICAO: aa56f8 (0)	Flight ID: UAL1746	07/04/18 05:24:30	3.25	3.30	1530707070.5	37.477101	-122.095733	0.14	90.00	3297	231	-1097	327	05:24:45	3.434573e+04
ICAO: aa56f8 (2)	Flight ID: UAL447	07/04/18 12:56:03	0.24	0.99	1530734163.8	37.454068	-122.145638	-0.22	80.09	5100	233	-1600	346	12:56:08	5.815101e+06
