Closest approaches at EDDYY(3) (lat: 37.374903, long: -122.119028, elevation: 206.5), 20180704
Flights within 5 miles and 10 < altitude < 15000 feet
EDDYY(3)	42.4	36.6	42.3	40.5	45.7	8.0	5.2	3.4	2.7	2.2	1.9	0.7	0.4	0.2	0.2	0.1	0.2	7.3	4.5	3.1	2.3	2.0	1.7	12.0	7.5	4.8	3.7	3.1	2.3	12.0	8.2	5.5	4.5	3.8	3.4
icao (seg #)	Flight_ID	Date/Time	Gnd Dist	rca_dist	rca_time	rca_lat	rca_lon	rca_fract	dp_theta	rca_alt	rca_speed	rca_vert_rate	rca_trk	rca_snd_arr	SEL
ICAO: a4460e (2)	Flight ID: UAL1121	07/04/18 11:59:40	3.82	3.92	1530730780.5	37.420504	-122.158356	-0.04	89.56	4925	203	8	55	11:59:58	1.152351e+04
ICAO: acd262 (0)	Flight ID: Other	07/04/18 06:35:02	4.14	4.20	1530711302.5	37.434098	-122.131129	-0.74	81.74	4000	281	-2371	114	06:35:22	4.804449e+03
ICAO: acd262 (2)	Flight ID: Other	07/04/18 11:10:28	0.62	1.08	1530727828.5	37.381819	-122.111783	-0.23	82.33	4888	261	-1408	5	11:10:33	4.054457e+06
ICAO: acd262 (6)	Flight ID: Other	07/04/18 21:33:36	3.81	3.92	1530765216.5	37.42488	-122.089572	-5.31	15.76	4950	357	2506	184	21:33:54	6.617201e+03
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:34:09	4.80	4.80	1530729249.5	37.441918	-122.095901	0.00	90.00	700	70	-640	301	11:34:32	6.129273e+03
ICAO: a555c5 (2)	Flight ID: N443AC	07/04/18 11:39:10	4.52	4.52	1530729550.0	37.439529	-122.105674	-15.22	41.78	700	66	654	305	11:39:31	1.102667e+04
ICAO: a555c5 (3)	Flight ID: N443AC	07/04/18 18:12:55	3.12	3.14	1530753175.2	37.401627	-122.073182	-0.28	88.45	1900	86	558	142	18:13:09	1.295264e+05
ICAO: a555c5 (4)	Flight ID: N443AC	07/04/18 19:59:13	1.80	1.89	1530759553.9	37.386935	-122.089902	0.47	90.06	3253	116	-719	334	19:59:22	1.321859e+06
ICAO: a0fe7a (0)	Flight ID: SKW5667	07/04/18 06:41:45	0.06	1.10	1530711705.0	37.375821	-122.119194	0.38	90.11	5995	288	-1536	344	06:41:50	3.527231e+06
ICAO: a1512f (1)	Flight ID: SKW3312	07/04/18 09:55:06	2.30	2.36	1530723306.9	37.39909	-122.090109	-0.30	84.91	2925	214	-76	320	09:55:17	2.573655e+05
ICAO: a1512f (3)	Flight ID: SKW3318	07/04/18 16:13:21	3.20	3.23	1530746001.4	37.382858	-122.06167	-0.90	79.94	2675	197	-902	344	16:13:36	4.681132e+04
ICAO: a125f9 (1)	Flight ID: SKW3409	07/04/18 09:49:06	2.31	2.37	1530722946.8	37.399521	-122.090539	-0.61	79.46	2950	214	-347	314	09:49:17	2.544347e+05
ICAO: a0fac3 (0)	Flight ID: SKW5276	07/04/18 06:51:31	1.86	2.25	1530712291.0	37.401837	-122.120859	-1.13	66.27	6875	243	-2080	95	06:51:41	2.874549e+05
ICAO: a0fac3 (2)	Flight ID: SKW5423	07/04/18 12:27:13	2.65	2.84	1530732433.3	37.402944	-122.15198	0.12	90.05	5549	202	-1329	45	12:27:26	1.012799e+05
